#  RunNo  LumiNo        EvtNo
  190688      78     14351796
  190688     144     45350585
  190895     118    103639118
  190688     130     38240345
  190688     196     70303355
  190688      87     16249660
  190688     108     26922707
  190895      90     64008494
  190688     113     29831478
  190895     150    147392855
  190688     136     41219683
  190688     209     75974870
  190895     130    120397159
  190895     180    186241642
  190688     220     81020446
  190895     406    440221327
  190895     633    658460328
  190895     640    665173348
  190895     772    780732380
  190895     790    795646155
  190895     803    806428607
  191226     826   1114756954
  190702      58     27665404
  191226    1159   1479573996
  191226    1199   1520180779
  190702      73     46564288
  191247     669    888303810
  191247     756    983860392
  190702      89     67265315
  191226     714    981834128
  191226     714    981851576
  191226     731    998337282
  191226     767   1043473697
  190702      85     61728820
  191226     708    974746566
  190702      91     69315677
  190702     133    126069345
  191226     184    218948077
  191226     249    327210513
  191226     287    388341048
  191226     288    390564588
  190702      98     79475074
  191226     342    473286280
  191226     353    490721234
  191226     394    551228570
  190702     152    149866148
  191226     123    112016129
  190702     132    123657928
  191226     152    164079617
  191226     158    174761651
  190702     109     94280973
  191226     386    540006422
  191226     180    212923697
  191226     216    273388654
  191226     216    273699166
  191247    1024   1253907813
  191247    1105   1329774078
  190702     157    156003200
  190702     128    119291616
  191226     140    143459167
  191247     747    974021666
  191247     764    992279441
  191247    1063   1290794079
  191226     107     84321331
  191226     110     89402257
  191226     128    120797670
  190702     168    170110305
  191226     196    240244953
  191226     215    270718772
  191226     248    326227855
  190703      89    102969451
  190703      83     95600095
  190703      84     96961733
  190703     109    126664280
  190703     163    190029643
  190703     147    171086980
  190703      64     74178371
  190736     172    176973524
  190703      46     51967675
  190703     203    235529045
  190736      33     31799171
  191247     173    258538392
  191247     362    518708841
  190703     111    128509004
  190703      42     47162747
  190703      50     56892234
  190703     134    155886106
  190703      25     25787880
  190736      28     26251498
  191247      69    107563934
  191247     181    270292826
  191247     182    272189665
  190736     170    174668144
  190703     150    175266796
  190703     112    129962980
  191247     136    203816250
  190703     175    204064254
  190703     175    204056371
  190736       5      1598801
  190703     199    230841822
  190703     245    281103617
  191247     201    299736893
  191247      17     21594934
  190736     163    167360469
  191247      40     60432538
  191247     249    366632252
  190736      95     97484657
  190736      95     98238695
  191247     124    186018579
  191247      80    125175408
  190736     181    185501476
  191247      18     22255422
  191247     263    385790818
  191247      95    148585192
  191247     234    346083486
  191247     234    346141110
  191247      19     24999273
  191247      20     26845824
  191247      21     27760159
  191247     196    292351172
  190736      73     74971481
  190736      74     76140725
  191247     141    211923301
  190736      97     99520350
  190736     137    141804311
  191247      99    155397061
  191247     126    189265807
  191247     358    512741856
  190782      68     34859698
  190782      70     37859480
  190945     177    109252438
  190895      68     31855289
  190895     162    162578912
  190895     274    292540289
  190895     104     84445478
  190895      94     69814232
  190895      95     71673484
  190895      97     74694957
  190895     126    114588092
  190895     127    116558569
  190895     538    572757751
  190895     128    117726271
  190895     128    117483677
  190895     589    617356042
  190895     164    165672223
  190895     556    590687298
  190895     856    850437115
  190895     175    179672681
  190895     768    776973795
  190895     921    902650104
  190895     230    240038358
  190895     644    668769681
  190895     942    919056170
  190895     485    521013675
  190895     680    700780575
  190895     765    775109949
  190895     576    609876984
  190895     606    633709657
  190895     635    660608548
  190895     413    447069987
  190895     654    677205611
  190895     421    455137973
  190895     279    298357488
  190895     623    649653896
  190895     331    357620556
  190895     305    328460448
  190895     284    304571251
  190895     639    664136705
  190895     337    364916677
  190895     703    720693725
  190895     698    716944352
  190895     817    818299618
  190906      79     27788804
  190906      85     36424743
  190945     127     40060182
  193192      71     27213375
  191090       8      4891418
  191090      22     19346536
  191090      22     20177230
  191090      15     12231715
  191090      32     30977774
  191226     460    647112660
  191226    1056   1372441298
  191226      84     42306186
  191226      92     56299103
  191226     109     86253145
  191226     109     86440654
  191226     135    134254482
  191226     173    200544686
  191226     176    206309519
  191226     343    474898385
  191226     385    537689619
  191226     501    704623590
  191226     501    703995553
  191226     189    228503384
  191226     193    234172174
  191226     204    253545820
  191226     323    444962052
  191226     331    457332536
  191226     274    367182356
  191226     306    417697533
  191226     388    542094242
  191226     292    396486626
  191226     292    396018528
  191226     292    396977448
  191226     302    411622845
  191226     259    342956374
  191226     332    458906666
  191226     933   1238617260
  191226     375    524154187
  191226     355    494095424
  191226     371    518314527
  191226     370    515590903
  191226     379    528933484
  191226    1014   1327864912
  191226    1023   1337253122
  191226     652    904529299
  191226     513    721363935
  191226     895   1194710885
  191226     441    619498593
  191226     470    660536631
  191226     454    638997348
  191226     475    667697036
  191226     475    667781077
  191226     624    868970379
  191226     632    879194697
  191226    1126   1445962503
  191226     426    598418658
  191226     443    622802819
  191226     469    659825953
  191226    1054   1371137265
  191226     482    677997692
  191226     521    732352935
  191226     444    624664263
  191226     452    636070820
  191226     569    795911113
  191226     593    828175174
  191226     595    830809111
  191226    1116   1435210903
  191226     575    804498231
  191226     616    858486472
  191226     494    694006381
  191226     725    991250097
  191226     725    990990018
  191226    1086   1404863926
  191226     710    976923180
  191226     712    979260398
  191226    1099   1418060581
  191226    1129   1448550787
  191226     937   1242629474
  191226     948   1255468656
  191226     698    961570513
  191226     727    994174021
  191226     776   1054601286
  191226     715    982982463
  191226     750   1022932505
  191226     791   1073047596
  191226     802   1086259771
  191226     821   1108296712
  191226     828   1116385050
  191226     838   1128586029
  191226    1050   1366874325
  191226    1072   1389851762
  191226    1073   1390639190
  191226    1074   1392222675
  191226     999   1311181141
  191226     909   1211544741
  191226    1040   1355479047
  191226     950   1256773909
  191226     957   1264556351
  191226     982   1292220441
  191226    1085   1403473219
  191226    1085   1403611989
  191226    1092   1411399152
  191226    1106   1424497601
  191226    1175   1495356016
  191226    1223   1543555749
  191226    1036   1351567951
  191226    1286   1605621151
  191226    1185   1505544751
  191226    1346   1662443753
  191226    1231   1551786231
  191226    1288   1607520751
  191226    1319   1636951843
  191226    1248   1567852622
  191226    1271   1590436149
  191226    1404   1716130351
  191226    1381   1694558353
  191226    1462   1768706655
  191226    1524   1823908677
  191226    1425   1735647646
  191226    1580   1872888863
  191226    1634   1918516261
  191226    1656   1937771068
  191226    1471   1777391203
  191226    1571   1865218843
  191226    1492   1795428226
  191226    1501   1803944957
  191226    1502   1804875354
  191226    1603   1892267290
  191226    1480   1784822468
  191226    1651   1932946179
  191226    1660   1940962175
  191226    1614   1901520669
  191226    1615   1902463144
  191226    1621   1907974362
  191247      29     40758231
  191247      29     41778231
  191247     238    351157785
  191247     496    685692850
  191247      59     90757842
  191247     294    428378845
  191247     693    914599493
  191247     697    919256309
  191247     697    919277709
  191247     152    228644056
  191247     165    247826837
  191247     186    277456559
  191247     348    500496859
  191247     143    214493140
  191247     465    647534158
  191247     442    619356233
  191247     373    532205283
  191247     634    849201825
  191247     290    422338177
  191247     519    714205024
  191247     438    614545973
  191247     376    536795275
  191247     429    603098034
  191247     429    603588866
  191247     464    646409981
  191247     467    649844279
  191247     301    437645000
  191247     332    478846780
  191247     332    479691578
  191247     386    548751503
  191247     527    723912099
  191247     581    787272035
  191247     382    544256521
  191247     385    548140365
  191247     513    705949577
  191247     421    593027747
  191247     550    750811568
  191247     381    543145322
  191247     508    700695633
  191247     509    701529859
