#  RunNo  LumiNo        EvtNo
  190895     195    205556790
  191247    1052   1280633957
  190733      90     45067026
  190949      12      9468399
  190733     210    211649102
  191264      97     82356712
  191277     264    260439541
  191830     253    376858391
  194050    1103   1031233620
  194052      53     50610132
  194108     344    331008666
  194108     665    646748180
  194199     171    125983653
  194120     363    277315138
  194225     118    136517958
  194151      56     54414907
  194825     169    194373500
  194225      34     39884594
  194304      27     42442816
  194691      79     62553799
  194702      88     92730059
  194428     358    361553758
  194429     510    471953863
  194778     199    263357753
  194480     117    105294579
  194480     787    710937871
  194533     352    493649611
  194644     276    285943501
  195147     322    353286895
  194712      34     25254688
  196531     139    156941081
  194912     184    291531518
  194912     127    175629653
  194912     298    501325821
  194912     998   1458050861
  195013     188    251597386
  195658     286    267011509
  195099     148    202009629
  195099     237    365720341
  195113     477    566953254
  195147     322    353286895
  195552     641    891318791
  195552    1067   1297458309
  196452     337    472173918
  195164       1       221141
  195378     233    285523965
  195304     581    726219853
  195304     530    664249609
  195304     678    820086732
  195390     230    182684478
  195397     125    204292904
  195398     497    431046280
  195397    1188   1374557753
  195397     588    805953517
  195397     689    914838348
  195397     603    821983794
  195399      78     64626569
  195530     214    326667465
  196239     252    254570466
  195552     140    237555510
  195647      15     24320468
  195655      29     35253844
  195655      31     38116060
  195774     578    915330468
  194480     117    105294579
  195775      27     25926169
  196531      74     36278769
  195948     271    453919273
  195950     657    622885486
  195950    1462   1320880996
  195950    1440   1302795746
  196197     402    608388407
  196197     277    417709212
  196438     622    515116301
  196438     787    670663680
  196239     252    254570466
  196334     205    303060121
  196250     201    347914190
  196334     249    379405750
  195099     237    365720341
  196364     948    871094537
  196452     337    472173918
  195164       1       221141
  196452     631    877679672
  196452    1010   1309652823
  196453     117    112537806
  195304     581    726219853
  195390     230    182684478
  196531     139    156941081
  196531     418    595714021
  196531     400    570491396
  194825     169    194373500
  194480     787    710937871
  199318      92     81182590
  198063     292    200614663
  198116     102    109413890
  198208     158    122259736
  198212     559    433460608
  198230     206    230716289
  198230     142    163315719
  198230    1259   1028951669
  198230      42     50501938
  198230     705    667782018
  198230     172    195087729
  198230     233    257886008
  198230     429    443858429
  198955    1057   1135541011
  198271     430    508869990
  198271     185    237510552
  198271     624    723581547
  198272     222    209034744
  198487     474    544529553
  198487     832    926145826
  198487    1319   1355045601
  199319     869   1093641168
  200245     123    141644421
  198941     160    173776865
  199833     258    312703593
  199569      11     13967336
  198969      68     71996505
  199021     170    193434462
  199021     281    343869039
  199021    1180   1330431950
  199021    1327   1464624253
  199021    1289   1430800079
  199336      80     80322055
  199336     253    244371440
  199336     738    648814824
  199356     111     52357735
  199409     124    169473611
  199409     266    356226678
  199428     471    572236751
  199435     287    331654100
  199608     124    118645403
  199608    1206   1323101533
  199608     516    611405528
  199699     736    838060628
  199699     285    349883860
  199703      17     15563179
  199739      77     36260392
  199752     243    299083473
  199752     127    161960112
  199752     177    223097763
  199754     451    473845228
  199833     258    312703593
  199877     353    373958366
  200229      83     79247043
  200041     814    972676224
  200091     972   1134348415
  200091    1416   1551380462
  200091    1595   1697876132
  200161      67    101654326
  200245     123    141644421
  200473    1116   1140130967
  200491     190    221387794
  200525     196    235895941
  200600     306    452576456
  200600     557    745348657
  201611      98     37882192
  201196     169    144539566
  201729     111    172967867
  201278     616    822734617
  201729     107    166571278
  201278    1255   1497279990
  201613      53     92061002
  201613     175    291405007
  201613     491    718882060
  201625     452    647676166
  202314      68     15945522
  201657      89     48642247
  198941     160    173776865
  199356     111     52357735
  201671      31     45142362
  201671    1005   1155371015
  201671     149    212341118
  201692     169    194165579
  201679     200    165845463
  201729      20     30541516
  202087     883   1028857191
  201817      65     67448227
  202014     116    138232934
  202014     101    122103306
  199569      11     13967336
  202016     908    930740582
  202016     628    681332285
  201692     169    194165579
  202044     106     91980920
  201671    1005   1155371015
  202060     327    415616806
  202060     907   1081019073
  202087      73    105301537
  202087     347    448801545
  202087     883   1028857191
  202087     580    708213232
  202087     642    778333204
  200491     190    221387794
  202314     248    353931644
  201613     491    718882060
  202237     791   1103658444
  202299     436    610404088
  202314      68     15945522
  202328     531    775664580
  202328     546    795331336
  202478     681    732240940
  202478    1095   1097268773
  202478    1242   1212423749
  202504      81     39631926
  202504    1279   1473855382
  202504    1482   1644629527
  202972     463    591869938
  202973     892    819473565
  202973     209    227775545
  202973     818    763616882
  203002     300    404464458
  203002     552    730396625
  203002     902   1122417602
  203987     310    360995573
  203994     185    170929576
  203894     607    681604339
  203909     224    302472103
  203912     589    677750196
  203912    1199   1232544186
  203912    1305   1314664356
  203987     909    987072978
  204113     137    161786531
  206446     114     95945959
  204577     114    161279074
  205111     102     68562153
  204554      24     19522780
  204576     149    213231066
  205236     291    401914785
  204563     491    671599434
  204601      24     34466235
  204564     591    649539028
  205158     194    258430639
  206243     542    814092780
  204577     695    829174611
  204577    1000   1152453865
  205908      80     65086050
  204599     227    333218015
  204599     298    451284633
  204601      93    131382023
  205111     166    191609590
  204601     989   1090121267
  205111     188    232159404
  205193     219    298958474
  206245       9      9154302
  205193     422    598680868
  205193     688    915262746
  205238     185    197023806
  205344     478    539000233
  205515     169    195377564
  205519     181    222638980
  205617      27     29864321
  205617     130    140502744
  205617     109    118770199
  205834      67     96402934
  206187     112     78664821
  204577    1000   1152453865
  205667     315    340541119
  205236     291    401914785
  205694     112    119208383
  205833     331    492895068
  205781     368    519312376
  205826     213    289895326
  206513     163    156632367
  205908      80     65086050
  206401     352    542982098
  205921      27     40415787
  205921     199    316890758
  206596      11     12984821
  206245       9      9154302
  206102     173    223893568
  206102     299    434131724
  206187     562    830139781
  206187     566    835382215
  206331     102     85240056
  206448     300    298660527
  206246     249    254864585
  206208     119    129989846
  206208     323    349654345
  206446     139    140441501
  206243     488    742683551
  206446     114     95945959
  206243     542    814092780
  206246      13     13638863
  206246     979    849185097
  204599     227    333218015
  206303      31     39868886
  206389     239    315525935
  207279     340    502798862
  206446     794   1082238331
  206466     182    335711993
  206477      79    120616867
  206484     474    680700922
  206484     474    680700922
  206542     156    280794200
  206512     394    523006899
  206869      90     95308359
  206513     163    156632367
  206542     349    578239839
  206542     582    875013926
  206869     605    565918088
