#  RunNo  LumiNo        EvtNo
  190895     150    147392855
  191247     442    619356233
  190703     150    175266796
  190705     183    223419131
  193336     707    496759540
  193336     508    357695490
  190707     195    208802923
  193207      60     12526867
  190738     188    174239677
  191830     149    196563138
  191202      16     20910403
  190895     118    103639118
  190906     199    187295113
  191721      58     40163248
  191062     403    428684641
  191226     193    234172174
  191226     394    551228570
  191247    1036   1265042848
  191247    1138   1360063936
  191720      94     89845164
  193336     525    367870577
  193621     216    192536063
  193621     860    741407213
  193621    1390   1085755579
  193621    1496   1146428956
  194315     282    359513919
  194428      53     58035879
  194533     583    777433721
  193998     127    105655687
  194428      89     96517760
  194644      61     66636343
  193998     267    271517310
  194428     371    373569672
  194691     296    427664571
  194027      60     29997162
  194199     185    143737358
  194027     102     81769490
  194115     223    195490198
  194050      54     14643470
  194050     842    795173820
  194050     130    104592827
  194050     194    178807833
  194050     256    247310580
  194050    1301   1192679240
  194050     577    550954747
  194050     575    548546266
  194050    1456   1310329470
  194050     441    427278608
  194050     926    874051535
  194050    1219   1127128204
  194050    1309   1198433502
  194050     886    837288395
  194050    1216   1125129558
  194050    1565   1389928884
  194050    1361   1239059810
  194076     708    695030262
  194076     543    534868785
  194076     123    138154107
  194076     444    451113726
  194076     498    497508688
  194076     190    208503951
  194076     352    368341208
  194076     415    426126127
  194108     417    407241742
  194108     429    420475110
  194108     240    216640831
  194108     510    501983437
  194108     687    665705129
  194108     404    394271157
  194115     399    378749591
  194115     110     79383861
  194314     227    317692856
  194115     444    423063021
  194115     645    605124434
  194199     126     69791538
  194712     565    411365497
  194119     141    125664894
  194225      34     39602338
  194711     421    363676987
  194691     300    433367957
  194223      66     23524411
  194120      27     21658160
  194533     414    574834497
  194533     579    773446401
  194120     286    213662661
  194150      85     84504868
  194150     138    161269941
  194150     285    352601480
  194150     199    243737844
  194151      96     95765516
  194151     335    323342383
  194314     109    121456243
  194225      14     15405445
  194210      85     85421269
  194210     188    183396314
  194210     454    421140575
  194480     373    330233131
  194778     105    105429329
  194224     319    477953502
  194480     875    784611047
  194225      22     25453360
  194712      32     23773803
  194712     188    137739226
  194712     455    321750750
  194305      48     69236239
  194789     119    164383519
  194314     215    299799143
  194702      30     31785086
  194315     291    369891119
  194644     316    324440194
  194644     208    220074662
  194317      10      8719986
  194691     211    293276738
  194631     204    307993251
  194424     125    134191667
  194424     404    585518739
  194631     151    234939790
  194424     233    324185203
  194424     253    357630354
  194424     301    432697483
  194424     308    443106847
  194424     540    768367254
  194424     345    499610333
  194424     442    637841571
  194424     417    603428827
  194424     688    950155918
  194428     201    211622759
  194428     272    281281753
  194428     312    319242678
  194428     344    348725243
  194429      82     77635241
  194429     932    804096692
  194429     378    357106932
  194429     519    479338261
  194429     520    479968297
  194455      88     98580226
  194455     241    376284736
  194464      33     50220004
  194479     461    520908970
  194479     512    570191492
  194480    1027    907118956
  194479     502    560644501
  194480      58     52792688
  194480     689    625730878
  194778     106    107986736
  194533     163    219094577
  194533     223    310046195
  194533     326    457591922
  194533     349    489152222
  194533     777    962968488
  194619      48     83063719
  194631     125    194899736
  194643      76    100456250
  194643     231    292762487
  194644      77     84205423
  194644     404    405163048
  194711     107     97044594
  194691     235    333130859
  194711     308    270800073
  194699     132    160329383
  194702     110    114701929
  194704     533    488258389
  194711      58     53221989
  194712     730    570722288
  194789      30     42554612
  194789     283    372458102
  194825     134    129508932
  195304     167    230071652
  194897      38     69320906
  194912      54     21114129
  194912     143    208294600
  195649     159    234906233
  194912     328    552920876
  194912     310    523356745
  194912     346    585022712
  194912     519    852807721
  194912     631   1013496663
  194912     681   1079536905
  194912    1142   1607362491
  194912     920   1371402341
  194912    1038   1500699321
  194912    1201   1662588089
  194912    1521   1949029270
  195113      90    121168898
  194912    1537   1961508416
  195163     192    255742980
  195390     319    249442870
  194915      58     54814119
  195114      48     45317370
  195658      51     38032219
  195013     305    451252361
  195013     335    497722048
  195251     115    208442667
  195013     382    571300368
  195013     486    720187120
  195016      65     78467433
  195016     217    250789144
  195016     412    453488889
  195016     499    533136395
  195378     275    344841781
  195016     565    590065006
  195099     127    159739737
  195540      90     61998816
  195099      95     95633350
  195099     185    271098146
  195099     183    268499972
  195304     256    340623470
  195109     240    315082203
  195109     240    314691032
  195304     432    542439982
  195113      19     24577933
  195113     434    522161887
  195113     229    294639364
  195113     256    325700494
  195113     291    364737163
  195163     228    319984231
  195113     567    657768473
  195114      99     92889782
  195147     206    153889174
  195147     190    126073333
  195147     469    573318012
  195147     419    501968477
  195147     489    602035472
  195552     155    261414961
  195165      49     64635129
  195165     145    193054329
  195165     205    269731231
  195251     236    402603377
  195303     147     95342890
  195303     222    232224989
  195530      90    143508715
  195303     250    280396321
  195378     568    708055880
  195378    1066   1188267991
  195304     640    784693089
  195304    1083   1167225582
  195304    1121   1196578602
  195378     215    259472285
  195378     306    387005008
  195378     426    540499970
  195378     826    974116470
  195378     778    927979124
  195390     223    177843024
  195390      71     58327860
  195390      13     10484108
  195390     226    180052270
  195396      54     21715622
  195398    1295   1026911062
  195396     129    162005577
  195398      41     33998911
  195398     929    775257180
  195398    1575   1284751365
  195397     152    246403646
  195397     266    411748689
  195397     359    533538025
  195397     715    941715516
  195397     943   1164665477
  195397     977   1195877529
  195398     151    117381198
  195398     395    341906226
  195398      34     28705808
  195655     460    504677636
  195774     471    776954239
  195398     996    823935053
  195774     395    671915571
  195398     965    801193109
  195398    1019    840065068
  195398    1052    863341931
  195749      73    148222057
  195530     299    439855337
  195530     364    522668593
  195540     202    263545819
  195540     301    420326175
  195552     178    296525487
  195551     102     44714421
  195552     530    767233609
  195552     589    834223621
  195552    1363   1540325956
  195552     566    807952044
  195552    1132   1350622757
  195552    1767   1909825992
  195552    1474   1648990943
  195758      17     25083700
  195757      47     75574417
  195552    1522   1694132552
  195757      37     61984895
