#  RunNo  LumiNo        EvtNo
  190895     150    147392855
  191247     442    619356233
  190703     150    175266796
  190705     183    223419131
  191856      93     78583135
  193336     707    496759540
  193336     508    357695490
  190707      66     69937561
  190707     195    208802923
  191046      20     25012992
  193207      60     12526867
  190738     188    174239677
  191202      16     20910403
  190738     190    176007311
  190895     118    103639118
  193621     690    612310936
  191062     403    428684641
  191226     193    234172174
  191226     182    216624572
  191226     394    551228570
  191247    1036   1265042848
  191247    1138   1360063936
  191271     333    365151150
  191720      94     89845164
  191834     167    203319456
  193336     525    367870577
  193575     565    431004894
  193575     592    449367706
  193575     675    506358825
  193621     216    192536063
  193621     860    741407213
  193621    1390   1085755579
  194315     282    359513919
  194644     214    225458802
  194533     583    777433721
  194315      24     33306856
  193998     127    105655687
  194428      89     96517760
  194644      61     66636343
  194644     194    205955743
  193998     218    216473563
  193998     267    271517310
  193998     277    282176088
  194428     371    373569672
  194691     296    427664571
  194027      60     29997162
  194027      60     30489146
  194199     185    143737358
  194027     102     81769490
  194115     223    195490198
  194050      54     14643470
  194050     842    795173820
  194050     130    104592827
  194050     194    178807833
  194050     256    247310580
  194050    1301   1192679240
  194050     577    550954747
  194050     320    312644903
  194050     575    548546266
  194050     317    309747536
  194050    1456   1310329470
  194050     441    427278608
  194050     926    874051535
  194050    1219   1127128204
  194050    1309   1198433502
  194050     886    837288395
  194050    1216   1125129558
  194050    1216   1124850362
  194050    1565   1389928884
  194050    1361   1239059810
  194076     708    695030262
  194076     123    138154107
  194076     444    451113726
  194076     498    497508688
  194076     190    208503951
  194076     352    368341208
  194076     415    426126127
  194108     417    407241742
  194076     295    314089082
  194108     429    420475110
  194108     151    107746906
  194108     830    788499431
  194108     240    216640831
  194108     687    665705129
  194115     399    378749591
  194115     450    428955309
  194115     110     79383861
  194789     118    164005429
  194789     201    271841988
  194314     227    317692856
  194115     444    423063021
  194115     645    605124434
  194199     126     69791538
  194712     565    411365497
  194119     141    125664894
  194225      34     39602338
  194711     421    363676987
  194691     300    433367957
  194711     208    186331796
  194223      66     23524411
  194533     356    499153542
  194533     360    504440808
  194533     414    574834497
  194533     735    923764986
  194120      96     75280107
  194533     579    773446401
  194120     286    213662661
  194120     327    242299323
  194305      70    100570109
  194150      85     84504868
  194150      83     81311555
  194223      83     56385922
  194150     138    161269941
  194150     285    352601480
  194150     199    243737844
  194150     249    308812670
  194151      50     48344280
  194151      96     95765516
  194151     117    117105121
  194151     329    317277409
  194151     335    323342383
  194151     517    480686435
  194151     553    515731721
  194699     117    141873232
  194199     298    275336644
  194314     109    121456243
  194225      14     15405445
  194210      85     85421269
  194210     188    183396314
  194210     441    408099450
  194210     454    421140575
  194480     373    330233131
  194778     105    105429329
  194224     319    477953502
  194480     875    784611047
  194225      22     25453360
  194303      71     39955681
  194712     108     79910542
  194712      32     23773803
  194712     188    137739226
  194533     183    249219471
  194533     193    264460008
  194789      18     24248949
  194789     119    164383519
  194314     215    299799143
  194702      30     31785086
  194315      81    111652883
  194315     225    293372734
  194315     291    369891119
  194644     316    324440194
  194644     208    220074662
  194317      10      8719986
  194691     211    293276738
  194631     204    307993251
  194424     125    134191667
  194424     404    585518739
  194424     152    183817386
  194631     151    234939790
  194424     180    234331435
  194424     233    324185203
  194424     253    357630354
  194424     301    432697483
  194424     308    443106847
  194424     540    768367254
  194424     345    499610333
  194424     417    603428827
  194424     387    560300366
  194424     688    949839828
  194428     391    392041007
  194428     201    211622759
  194428     272    281281753
  194428     312    319242678
  194428     296    304664710
  194428     344    348725243
  194428     436    431886199
  194429     871    758680879
  194429      82     77635241
  194429     166    161222726
  194429     932    804096692
  194429     378    357106932
  194429     519    479338261
  194429     520    479968297
  194429     610    554644156
  194455      88     98580226
  194455     241    376284736
  194464      25     38806582
  194464      33     50220004
  194479     461    520908970
  194479     512    570191492
  194480    1027    907118956
  194480     177    157496056
  194479     502    560644501
  194480      58     52792688
  194480     247    216152133
  194480     689    625730878
  194480     673    612164705
  194480     713    647261724
  194778     133    155279249
  194778     210    280196628
  194778     106    107986736
  194533     163    219094577
  194533     223    310046195
  194533     326    457591922
  194533     349    489152222
  194533     377    526269616
  194533     777    962968488
  194619      48     83063719
  194631     125    194899736
  194643      13     15878443
  194643     144    187993256
  194643     231    292762487
  194644      77     84205423
  194644     404    405163048
  194711     107     97044594
  194691     235    333130859
  194711     308    270800073
  194699     132    160329383
  194699      18     22627055
  194702      58     60910549
  194702     110    114701929
  194704     380    336674209
  194704     533    488258389
  194711      58     53221989
  194712     730    570722288
  194712     153    112408956
  194789      30     42554612
  194789     283    372458102
  194825      88     46044688
  194825     134    129508932
  194896      46     75461802
  195115      14     12152335
  194897      38     69320906
  194912      54     21114129
  194912     143    208294600
  195649     159    234906233
  194912     310    523356745
  194912     346    585022712
  194912     519    852807721
  194912     485    802890322
  194912     631   1013496663
  194912     681   1079536905
  194912     654   1044220878
  194912    1142   1607362491
  194912     920   1371402341
  194912    1038   1500699321
  194912    1201   1662588089
  194912    1521   1949029270
  195113      90    121168898
  194912    1537   1961508416
  194912    1613   2023398579
  195163     192    255742980
  195390     319    249442870
  195655     172    203825128
  194914      37     29739492
  195013     191    256761766
  194915      58     54814119
  195658      37     27553129
  195656     165    150877223
  195114      48     45317370
  195658      51     38032219
  195013     305    451252361
  195013     335    497722048
  195251     115    208442667
  195251     112    203119773
  195013     382    571300368
  195013     486    720187120
  195014      83    104725102
  195014     130    161513157
  195016     523    554176176
  195016      20     23876448
  195016      21     24369128
  195016      65     78467433
  195530     387    550795801
  195303     343    431367501
  195016     217    250789144
  195016     412    453488889
  195016     441    481632982
  195016     363    404751505
  195016     499    533136395
  195378     275    344841781
  195016     565    590065006
  195099     127    159739737
  195540      90     61998816
  195099      95     95633350
  195099     185    271098146
  195099     183    268499972
  195099     228    349349187
  195109     108     74714423
