#  RunNo  LumiNo        EvtNo
  191277     264    260439541
  190733     210    211649102
  190733      90     45067026
  193193     382    256853976
  190949      12      9468399
  191247    1120   1343230465
  191247    1052   1280633957
  191264      97     82356712
  191830     253    376858391
  193621    1491   1143606260
  194052      53     50610132
  194644     276    285943501
  194304      27     42442816
  194050    1103   1031233620
  194691      79     62553799
  194108     781    746288989
  194108     344    331008666
  194108     665    646748180
  194225      34     39884594
  194711     227    202809764
  194120     363    277315138
  194150      66     55232235
  194151      56     54414907
  194199     171    125983653
  194224      59     99466716
  194480     787    710937871
  194225     118    136517958
  194533     216    299399230
  194789     220    295413386
  194631     139    215893766
  194428     358    361553758
  194429     510    471953863
  194464      65     97872253
  194480     991    878897736
  194480     117    105294579
  194533     264    370855826
  194533     352    493649611
  194533     559    752030943
  194778     132    153002044
  194702      96    100632747
  194789     312    407169699
  194702      88     92730059
  194712     384    274017369
  194778     199    263357753
  194825     136    133433201
  194825     169    194373500
  194912     184    291531518
  194912     127    175629653
  194912     228    374236077
  194912     298    501325821
  194912     467    774509368
  194912    1127   1592354004
  194912     875   1320342118
  194912     998   1458050861
  194912    1413   1857582494
  194912    1642   2045915018
  195013     188    251597386
  195658     286    267011509
  195251      61    114080559
  195397      97    160676349
  195647      15     24320468
  195099     237    365720341
  195304     581    726219853
  195113     477    566953254
  195113     578    667900683
  195399      78     64626569
  195147     322    353286895
  195147     371    430199326
  195164       1       221141
  195251     100    182763560
  195303     204    200870109
  195530     214    326667465
  195304     530    664249609
  195304     678    820086732
  195378     233    285523965
  195390     230    182684478
  195775      27     25926169
  195398    1561   1272139877
  195397     125    204292904
  195397     550    762774566
  195397     603    821983794
  195397     588    805953517
  195397     689    914838348
  195397    1188   1374557753
  195398     497    431046280
  195774     578    915330468
  195540     162    195129038
  195552     357    552100122
  195552     457    679460771
  195552     641    891318791
  195552    1067   1297458309
  195655      29     35253844
  195655      31     38116060
  195776     428    342761240
  196197     402    608388407
  195930     129     97547589
  196200       5      3738494
  196452     337    472173918
  195948     271    453919273
  195950     440    440307266
  195950    1440   1302795746
  195950     657    622885486
  195950     768    709521039
  195950    1462   1320880996
  196334     249    379405750
  196452     428    610320906
  196197     277    417709212
  196438     876    750396053
  196438    1003    860698717
  196218     587    855641543
  196438     888    760886447
  196239     252    254570466
  196239     267    268910389
  196239     805    716933050
  196250     201    347914190
  196334     205    303060121
  196364     948    871094537
  196531     139    156941081
  196438     622    515116301
  196452     631    877679672
  196452    1010   1309652823
  196453     117    112537806
  196509      20     23196019
  196453     340    313562011
  196453    1203   1063924372
  196495     224    208855000
  196531     418    595714021
  196531     406    578676308
  196531     400    570491396
  198230     172    195087729
  199319     306    449803789
  198063     292    200614663
  199409     124    169473611
  198116     102    109413890
  198208     158    122259736
  198271     430    508869990
  199569      11     13967336
  198212     559    433460608
  199021    1327   1464624253
  198230      42     50501938
  198230     142    163315719
  198230     233    257886008
  198230     262    287630693
  198230     365    386104966
  198230     429    443858429
  198230     705    667782018
  198230    1098    934064989
  198271     624    723581547
  198272     466    414443978
  198272     474    421447322
  198272     222    209034744
  199336      80     80322055
  199336      55     55287940
  199356     106     43964519
  199336     380    356837240
  199336     253    244371440
  198487     127    161807000
  198487     474    544529553
  198487     832    926145826
  198487    1319   1355045601
  199429      13     14218642
  198941     160    173776865
  198955     531    617584306
  198955    1057   1135541011
  199356     111     52357735
  198969      68     71996505
  198969     685    824810243
  199318      92     81182590
  199021     170    193434462
  199021     281    343869039
  199021    1180   1330431950
  199021    1289   1430800079
  199319     869   1093641168
  199336     738    648814824
  199608    1206   1323101533
  199608     507    602351723
  199409     266    356226678
  199608     877   1007282560
  199409     695    828915374
  199435    1182   1278489347
  199428     471    572236751
  199435     298    344749242
  199608     108     94569820
  199608     124    118645403
  199608     445    533498822
  199608    2060   1972862413
  199699     285    349883860
  199699     682    783812207
  199703      17     15563179
  199703     222    199269143
  199739      77     36260392
  200600      95    154971523
  199752     127    161960112
  199752     177    223097763
  199752     243    299083473
  200041     814    972676224
  199754     451    473845228
  199754     477    498035394
  199804      96     62315640
  199804     393    458070749
  200229      83     79247043
  199833     258    312703593
  200245      22     26019014
  199812     523    617402305
  199832     129    139542232
  199832     183    219205512
  199832     196    239130748
  200473     452    479081636
  199867     205    220566504
  200244     433    594769596
  200473     483    511968048
  200473    1116   1140130967
  199877     353    373958366
  199960     335    408113424
  200041    1072   1239716841
  200042     263    221208977
  200091     435    536048786
  200075     193    202929631
  200091      71     17532584
  200091     972   1134348415
  200091    1416   1551380462
  200091    1595   1697876132
  200525     196    235895941
  200491     190    221387794
  200525     840   1036973386
  200525     932   1139862559
  200600     306    452576456
  200600     557    745348657
  200976     146    103146690
  200991      50     78613580
  200991     967   1156518735
  201164     159    247465892
  201191     222    325305318
  201625     480    680297118
  201191     579    861715634
  201191    1159   1522450412
  201196     169    144539566
  201196     367    301555147
  201196     758    580644112
  201278     616    822734617
  201613     175    291405007
  201278    1255   1497279990
  201692     169    194165579
  201671      31     45142362
  201611      98     37882192
  201671    1005   1155371015
  201625     452    647676166
  201625     325    489100990
  201625     931   1179991713
  201692     106     75412011
  201729     107    166571278
  201671     149    212341118
  201679     200    165845463
  201707     810    974839714
  201729      20     30541516
  201802     247    330590846
  201817      65     67448227
  202014     101    122103306
  202014     133    160858389
  202014     116    138232934
  202016     628    681332285
  202016     908    930740582
  202044     106     91980920
  202045     750    818912418
  202087     883   1028857191
  202060     327    415616806
  202060     524    660537259
  202060     907   1081019073
  202075     436    588461717
  202087      73    105301537
  202087     347    448801545
  202087     580    708213232
  202087     642    778333204
  202087     887   1032739805
  202093      18     12172880
  202178     132    125022981
  202478     681    732240940
  202314     248    353931644
  202237     791   1103658444
  203002     552    730396625
  202272     516    605532057
  202299     436    610404088
  202314      68     15945522
  202328     546    795331336
  202504    1279   1473855382
  202328     531    775664580
  202389      98     51402796
  202469     243    324620664
  202478     296    325495673
  202478     750    797059529
  202478    1242   1212423749
  202478    1095   1097268773
  202504     137    142357446
  202504     202    252729779
  202504     686    872136581
  202972     270    372398957
  202972     463    591869938
  202973     557    552950449
  202973     209    227775545
  202973     687    660941635
  202973    1028    916895040
  202973     818    763616882
  203002     300    404464458
  203002     902   1122417602
  204564     156    184371036
  203894     607    681604339
  203894     539    603052716
  205111     166    191609590
  203909     178    223167833
  203909     224    302472103
  205111     188    232159404
  205193     422    598680868
  203912     589    677750196
  203912     985   1055117442
  203912    1199   1232544186
  203987     310    360995573
  203987     909    987072978
  203994     185    170929576
  204113     137    161786531
  204577     695    829174611
  204563     491    671599434
  204564     591    649539028
  205111     102     68562153
  205344      29     34299131
  204576     149    213231066
  204577     241    326367334
  204577    1000   1152453865
  204577    1049   1199859162
  204599     107    113447213
  204599     298    451284633
  204599     227    333218015
  204601      24     34466235
  204601      93    131382023
  204601     989   1090121267
  205158     194    258430639
  205158     560    763482463
  205193     109    103613972
  205193     219    298958474
